FeatureCode,DateCode,Measurement,Units,Value,Rent and charges
E08000018,2014-2015,LA rents and charges,,70.9,a. Weekly rent mean
E08000018,2013-2014,LA rents and charges,,66.6,a. Weekly rent mean
E08000018,2014-2015,LA rents and charges,,74.1,b. Weekly total charges mean
E08000018,2015-2016,LA rents and charges,,75.7,a. Weekly rent mean
E08000018,2015-2016,LA rents and charges,,77.5,b. Weekly total charges mean
E08000019,2013-2014,LA rents and charges,,66.4,a. Weekly rent mean
E08000019,2014-2015,LA rents and charges,,70,a. Weekly rent mean
E08000019,2014-2015,LA rents and charges,,71.9,b. Weekly total charges mean
E08000019,2015-2016,LA rents and charges,,72.2,b. Weekly total charges mean
E08000019,2015-2016,LA rents and charges,,71.2,a. Weekly rent mean
E08000019,2013-2014,LA rents and charges,,68.5,b. Weekly total charges mean
E08000021,2013-2014,LA rents and charges,,78,b. Weekly total charges mean
E08000021,2014-2015,LA rents and charges,,73.3,a. Weekly rent mean
E08000021,2015-2016,LA rents and charges,,75.4,a. Weekly rent mean
E08000021,2013-2014,LA rents and charges,,69.8,a. Weekly rent mean
E08000021,2015-2016,LA rents and charges,,82.8,b. Weekly total charges mean
E08000021,2014-2015,LA rents and charges,,81.1,b. Weekly total charges mean
E08000022,2013-2014,LA rents and charges,,68.2,a. Weekly rent mean
E08000022,2014-2015,LA rents and charges,,74.2,b. Weekly total charges mean
E08000022,2014-2015,LA rents and charges,,73.4,a. Weekly rent mean
E08000022,2015-2016,LA rents and charges,,75.9,a. Weekly rent mean
E08000022,2015-2016,LA rents and charges,,76.1,b. Weekly total charges mean
E08000022,2013-2014,LA rents and charges,,68.3,b. Weekly total charges mean
E08000023,2014-2015,LA rents and charges,,72.1,b. Weekly total charges mean
E08000023,2015-2016,LA rents and charges,,73.3,a. Weekly rent mean
E08000023,2015-2016,LA rents and charges,,73.8,b. Weekly total charges mean
E08000023,2014-2015,LA rents and charges,,71.4,a. Weekly rent mean
E08000023,2013-2014,LA rents and charges,,68.5,a. Weekly rent mean
E08000023,2013-2014,LA rents and charges,,68.9,b. Weekly total charges mean
E08000025,2015-2016,LA rents and charges,,83.6,a. Weekly rent mean
E08000025,2013-2014,LA rents and charges,,83.8,b. Weekly total charges mean
E08000025,2014-2015,LA rents and charges,,85,b. Weekly total charges mean
E08000025,2013-2014,LA rents and charges,,77.1,a. Weekly rent mean
E08000025,2014-2015,LA rents and charges,,79.4,a. Weekly rent mean
E08000025,2015-2016,LA rents and charges,,87.4,b. Weekly total charges mean
E08000027,2014-2015,LA rents and charges,,75.9,b. Weekly total charges mean
E08000027,2015-2016,LA rents and charges,,76.2,b. Weekly total charges mean
E08000027,2013-2014,LA rents and charges,,75.8,b. Weekly total charges mean
E08000027,2013-2014,LA rents and charges,,75.7,a. Weekly rent mean
E08000027,2015-2016,LA rents and charges,,76,a. Weekly rent mean
E08000027,2014-2015,LA rents and charges,,75.9,a. Weekly rent mean
E08000028,2015-2016,LA rents and charges,,81.3,b. Weekly total charges mean
E08000028,2014-2015,LA rents and charges,,80.9,b. Weekly total charges mean
E08000028,2014-2015,LA rents and charges,,77.6,a. Weekly rent mean
E08000028,2015-2016,LA rents and charges,,78.1,a. Weekly rent mean
E08000028,2013-2014,LA rents and charges,,80.8,b. Weekly total charges mean
E08000028,2013-2014,LA rents and charges,,77.8,a. Weekly rent mean
E08000029,2013-2014,LA rents and charges,,73.2,a. Weekly rent mean
E08000029,2015-2016,LA rents and charges,,79.9,a. Weekly rent mean
E08000029,2014-2015,LA rents and charges,,80.6,b. Weekly total charges mean
E08000029,2015-2016,LA rents and charges,,83.2,b. Weekly total charges mean
E08000029,2014-2015,LA rents and charges,,76.8,a. Weekly rent mean
E08000029,2013-2014,LA rents and charges,,76.5,b. Weekly total charges mean
E08000031,2013-2014,LA rents and charges,,71.3,a. Weekly rent mean
E08000031,2014-2015,LA rents and charges,,75.3,a. Weekly rent mean
E08000031,2015-2016,LA rents and charges,,82.5,b. Weekly total charges mean
E08000031,2013-2014,LA rents and charges,,76.5,b. Weekly total charges mean
E08000031,2015-2016,LA rents and charges,,77.2,a. Weekly rent mean
E08000031,2014-2015,LA rents and charges,,80.8,b. Weekly total charges mean
E08000032,2015-2016,LA rents and charges,,118.2,b. Weekly total charges mean
E08000032,2015-2016,LA rents and charges,,101.6,a. Weekly rent mean
E08000034,2014-2015,LA rents and charges,,61.8,a. Weekly rent mean
E08000034,2013-2014,LA rents and charges,,65.8,a. Weekly rent mean
