FeatureCode,DateCode,Measurement,Units,Value,Rent and charges
E08000013,2015-2016,PRP rents and charges,,87,a. Weekly rent mean
E08000013,2016-2017,PRP rents and charges,,90.2,b. Weekly total charges mean
E08000013,2015-2016,PRP rents and charges,,90.4,b. Weekly total charges mean
E08000013,2013-2014,PRP rents and charges,,83.9,a. Weekly rent mean
E08000013,2014-2015,PRP rents and charges,,89.4,b. Weekly total charges mean
E08000013,2013-2014,PRP rents and charges,,86.2,b. Weekly total charges mean
E08000013,2016-2017,PRP rents and charges,,85.5,a. Weekly rent mean
E08000013,2014-2015,PRP rents and charges,,86.1,a. Weekly rent mean
E08000014,2015-2016,PRP rents and charges,,91.6,b. Weekly total charges mean
E08000014,2016-2017,PRP rents and charges,,90.4,b. Weekly total charges mean
E08000014,2016-2017,PRP rents and charges,,83.9,a. Weekly rent mean
E08000014,2013-2014,PRP rents and charges,,86.3,b. Weekly total charges mean
E08000014,2013-2014,PRP rents and charges,,81.2,a. Weekly rent mean
E08000014,2015-2016,PRP rents and charges,,85.8,a. Weekly rent mean
E08000014,2014-2015,PRP rents and charges,,91.1,b. Weekly total charges mean
E08000014,2014-2015,PRP rents and charges,,84.9,a. Weekly rent mean
E08000015,2013-2014,PRP rents and charges,,80.1,a. Weekly rent mean
E08000015,2016-2017,PRP rents and charges,,82.9,a. Weekly rent mean
E08000015,2014-2015,PRP rents and charges,,82.6,a. Weekly rent mean
E08000015,2013-2014,PRP rents and charges,,83.8,b. Weekly total charges mean
E08000015,2015-2016,PRP rents and charges,,84.1,a. Weekly rent mean
E08000015,2014-2015,PRP rents and charges,,86.7,b. Weekly total charges mean
E08000015,2015-2016,PRP rents and charges,,87.8,b. Weekly total charges mean
E08000015,2016-2017,PRP rents and charges,,87.4,b. Weekly total charges mean
E08000016,2013-2014,PRP rents and charges,,81.6,a. Weekly rent mean
E08000016,2014-2015,PRP rents and charges,,85.2,a. Weekly rent mean
E08000016,2015-2016,PRP rents and charges,,82.2,a. Weekly rent mean
E08000016,2013-2014,PRP rents and charges,,87.7,b. Weekly total charges mean
E08000016,2014-2015,PRP rents and charges,,89.4,b. Weekly total charges mean
E08000016,2016-2017,PRP rents and charges,,83.3,a. Weekly rent mean
E08000016,2016-2017,PRP rents and charges,,91.6,b. Weekly total charges mean
E08000016,2015-2016,PRP rents and charges,,89.8,b. Weekly total charges mean
E08000017,2016-2017,PRP rents and charges,,79.9,a. Weekly rent mean
E08000017,2014-2015,PRP rents and charges,,87.2,b. Weekly total charges mean
E08000017,2015-2016,PRP rents and charges,,86.9,b. Weekly total charges mean
E08000017,2013-2014,PRP rents and charges,,82.6,b. Weekly total charges mean
E08000017,2015-2016,PRP rents and charges,,83.1,a. Weekly rent mean
E08000017,2013-2014,PRP rents and charges,,78.4,a. Weekly rent mean
E08000017,2016-2017,PRP rents and charges,,84.7,b. Weekly total charges mean
E08000017,2014-2015,PRP rents and charges,,84,a. Weekly rent mean
E08000018,2013-2014,PRP rents and charges,,79.3,a. Weekly rent mean
E08000018,2016-2017,PRP rents and charges,,79.7,a. Weekly rent mean
E08000018,2015-2016,PRP rents and charges,,87.4,b. Weekly total charges mean
E08000018,2016-2017,PRP rents and charges,,84.5,b. Weekly total charges mean
E08000018,2013-2014,PRP rents and charges,,84.1,b. Weekly total charges mean
E08000018,2015-2016,PRP rents and charges,,81.1,a. Weekly rent mean
E08000018,2014-2015,PRP rents and charges,,78.3,a. Weekly rent mean
E08000018,2014-2015,PRP rents and charges,,98.7,b. Weekly total charges mean
E08000019,2014-2015,PRP rents and charges,,86.4,b. Weekly total charges mean
E08000019,2013-2014,PRP rents and charges,,82.3,b. Weekly total charges mean
E08000019,2015-2016,PRP rents and charges,,86.4,b. Weekly total charges mean
E08000019,2015-2016,PRP rents and charges,,80.4,a. Weekly rent mean
E08000019,2014-2015,PRP rents and charges,,79.1,a. Weekly rent mean
E08000019,2016-2017,PRP rents and charges,,78.5,a. Weekly rent mean
E08000019,2013-2014,PRP rents and charges,,76.8,a. Weekly rent mean
E08000019,2016-2017,PRP rents and charges,,84.1,b. Weekly total charges mean
E08000021,2014-2015,PRP rents and charges,,79,a. Weekly rent mean
E08000021,2015-2016,PRP rents and charges,,96.6,b. Weekly total charges mean
E08000021,2015-2016,PRP rents and charges,,78.2,a. Weekly rent mean
E08000021,2014-2015,PRP rents and charges,,95,b. Weekly total charges mean
E08000021,2016-2017,PRP rents and charges,,94.3,b. Weekly total charges mean
E08000021,2013-2014,PRP rents and charges,,75.7,a. Weekly rent mean
E08000021,2016-2017,PRP rents and charges,,78.1,a. Weekly rent mean
E08000021,2013-2014,PRP rents and charges,,93.2,b. Weekly total charges mean
E08000022,2014-2015,PRP rents and charges,,93.8,b. Weekly total charges mean
E08000022,2015-2016,PRP rents and charges,,93.8,b. Weekly total charges mean
E08000022,2013-2014,PRP rents and charges,,86.6,b. Weekly total charges mean
E08000022,2016-2017,PRP rents and charges,,82.9,a. Weekly rent mean
E08000022,2015-2016,PRP rents and charges,,82.2,a. Weekly rent mean
E08000022,2013-2014,PRP rents and charges,,76.2,a. Weekly rent mean
E08000022,2016-2017,PRP rents and charges,,91.4,b. Weekly total charges mean
E08000022,2014-2015,PRP rents and charges,,80.2,a. Weekly rent mean
E08000023,2013-2014,PRP rents and charges,,75.7,a. Weekly rent mean
E08000023,2015-2016,PRP rents and charges,,85.5,b. Weekly total charges mean
E08000023,2013-2014,PRP rents and charges,,82.1,b. Weekly total charges mean
E08000023,2016-2017,PRP rents and charges,,82.7,b. Weekly total charges mean
E08000023,2014-2015,PRP rents and charges,,78.6,a. Weekly rent mean
E08000023,2016-2017,PRP rents and charges,,77,a. Weekly rent mean
